id,x,y
1,-1466.560924661559,2592.950599386592
2,-1462.338981610783,2599.480067270401
3,-1457.758600337146,2605.762282197686
4,-1452.790618135037,2611.742364961922
5,-1447.424684717885,2617.369038489151
6,-1441.61582152429,2622.536851270544
7,-1435.436954738125,2627.254422202114
8,-1428.930090678661,2631.507672155676
9,-1422.13767860312,2635.289607684008
10,-1415.098902342856,2638.593532189419
11,-1407.848793752874,2641.40452016412
12,-1400.440965462206,2643.767845509358
13,-1392.913988557906,2645.717529113106
14,-1385.296251123272,2647.275269207069
15,-1377.611493825876,2648.460018205943
16,-1369.879664741838,2649.286190794895
17,-1362.11860134244,2649.77331461864
18,-1354.342574706473,2649.895955425469
19,-1346.565275779939,2649.895955425469
20,-1338.787976853405,2649.895955425469
21,-1331.010677926871,2649.895955425469
22,-1323.233379000338,2649.895955425469
23,-1315.456080073804,2649.895955425469
24,-1307.67878114727,2649.895955425469
25,-1299.901482220736,2649.895955425469
26,-1292.124183294203,2649.895955425469
27,-1284.346884367669,2649.895955425469
28,-1276.569585441135,2649.895955425469
29,-1268.792286514601,2649.895955425469
30,-1261.014987588068,2649.895955425469
31,-1253.237688661534,2649.895955425469
32,-1245.460389735,2649.895955425469
33,-1237.683090808466,2649.895955425469
34,-1232.37680789557,2649.893773386999
35,-1236.086788399365,2649.895955425469
36,-1236.086788399365,2649.895955425469
37,-1236.086788399365,2649.895955425469
38,-1236.086788399365,2649.895955425469
39,-1236.086788399365,2649.895955425469
40,-1236.086788399365,2649.895955425469
41,-1236.086788399365,2649.895955425469
42,-1236.086788399365,2649.895955425469
43,-1236.086788399365,2649.895955425469
44,-1236.086788399365,2649.895955425469
45,-1235.973239952846,2649.89588864154
46,-1235.493374262524,2649.895606406796
47,-1235.013508572202,2649.895324172052
48,-1234.533642881879,2649.895041937308
49,-1234.053777191557,2649.894759702564
50,-1233.573911501235,2649.894477467821
51,-1233.094045810912,2649.894195233077
52,-1232.61418012059,2649.893912998333
53,-1232.134314430268,2649.893630763589
54,-1231.654448739946,2649.893348528845
55,-1231.174583049623,2649.893066294102
56,-1229.649345520916,2649.884157342157
57,-1231.529109644678,2649.893274810203
58,-1232.008975335,2649.893557044946
59,-1232.488841025322,2649.89383927969
60,-1232.968706715645,2649.894121514434
61,-1233.448572405967,2649.894403749178
62,-1233.92843809629,2649.894685983921
63,-1234.408303786612,2649.894968218665
64,-1234.888169476934,2649.895250453409
65,-1235.368035167256,2649.895532688153
66,-1235.847900857578,2649.895814922897
67,-1235.635305827099,2649.894553242487
68,-1234.736257521163,2649.891761041163
69,-1233.837209215226,2649.888968839841
70,-1232.93816090929,2649.886176638517
71,-1232.039112603354,2649.883384437194
72,-1231.140064297417,2649.880592235871
73,-1230.241015991481,2649.877800034548
74,-1229.341967685545,2649.875007833225
75,-1228.442919379608,2649.872215631902
76,-1227.543871073672,2649.869423430579
77,-1225.638028705986,2649.845015462643
78,-1217.869235052598,2649.520645124284
79,-1210.17604709063,2648.431509923612
80,-1202.830617469243,2645.92757258406
81,-1196.276219247378,2641.784383949356
82,-1190.74615235267,2636.334980746213
83,-1186.105503935119,2630.100578627811
84,-1182.130100571541,2623.418851148788
85,-1178.468787930737,2616.559256072056
86,-1175.0045529991,2609.596508053322
87,-1171.60200866272,2602.603006650455
88,-1168.153948303512,2595.632190640263
89,-1164.564229013105,2588.733865338654
90,-1160.735311129357,2581.965195394679
91,-1156.528561038225,2575.423816926541
92,-1151.837433658573,2569.22497615413
93,-1146.54500085676,2563.535045730079
94,-1140.572994618633,2558.56991154385
95,-1133.901963696702,2554.593269242228
96,-1126.653957152907,2551.813848707637
97,-1119.035067821876,2550.315505887224
98,-1111.272977857396,2549.938584667413
99,-1103.495678930862,2549.938584667413
100,-1095.718380004329,2549.938584667413
101,-1087.941081077795,2549.938584667413
102,-1080.163782151261,2549.938584667413
103,-1072.386483224728,2549.938584667413
104,-1064.609184298194,2549.938584667413
105,-1056.83188537166,2549.938584667413
106,-1049.054586445127,2549.938584667413
107,-1041.277287518593,2549.938584667413
108,-1033.499988592059,2549.938584667413
109,-1025.722689665525,2549.938584667413
110,-1017.945390738992,2549.938584667413
111,-1010.168091812458,2549.938584667413
112,-1002.390792885924,2549.938584667413
113,-994.6134939593907,2549.938584667413
114,-986.836195032857,2549.938584667413
115,-979.0588961063232,2549.938584667413
116,-971.2815971797894,2549.938584667413
117,-963.5042982532558,2549.938584667413
118,-955.7269993267221,2549.938584667413
119,-947.9542998651258,2550.133211701299
120,-940.2372047024268,2551.038141990354
121,-932.7477006567674,2553.102739230607
122,-925.5935120833656,2556.127210669725
123,-918.9080509845757,2560.082735750884
124,-912.8052033174483,2564.893392055449
125,-907.231997261986,2570.310000158548
126,-902.2582741014014,2576.282443235306
127,-897.8460694369188,2582.682349681421
128,-893.9649783134734,2589.418231491539
129,-890.7276751882008,2596.48639653418
130,-888.0525542141269,2603.785363864788
131,-886.0406118546492,2611.293592686378
132,-884.705718112916,2618.952123954957
133,-884.0816223273476,2626.699794741741
134,-883.9901354147459,2634.47580179902
135,-883.9901354147459,2642.253100725554
136,-883.9901354147459,2650.030399652088
137,-883.9901354147459,2657.807698578622
138,-883.9901354147459,2665.584997505156
139,-883.9901354147459,2673.362296431689
140,-883.9901354147459,2681.139595358223
141,-883.9901354147459,2688.916894284757
142,-883.9901354147459,2696.694193211291
143,-883.9901354147459,2704.471492137825
144,-883.9901354147459,2712.248791064359
145,-883.9901354147459,2720.026089990893
146,-883.9901354147459,2727.803388917426
147,-883.9901354147459,2735.580687843961
148,-883.9901354147459,2743.357986770494
149,-883.9901354147459,2751.135285697028
150,-883.9901354147459,2758.912584623562
151,-883.9901354147459,2766.689883550095
152,-883.9901354147459,2774.467182476629
153,-883.9901354147459,2782.244481403163
154,-883.9901354147459,2790.021780329697
155,-883.9901354147459,2797.799079256231
156,-883.9901354147459,2805.576378182765
157,-883.9901354147459,2813.353677109298
158,-883.9901354147459,2821.130976035832
159,-883.9901354147459,2828.908274962366
160,-883.9901354147459,2836.6855738889
161,-883.9901354147459,2844.462872815434
162,-883.9901354147459,2852.240171741968
163,-883.9901354147459,2860.017470668502
164,-883.9901354147459,2867.794769595035
165,-883.9901354147459,2875.572068521569
166,-883.9901354147459,2883.349367448103
167,-883.9901354147459,2891.126666374637
168,-883.9901354147459,2898.903965301171
169,-883.9901354147459,2906.681264227705
170,-883.9901354147459,2914.458563154239
171,-883.9901354147459,2922.235862080772
172,-883.9901354147459,2930.013161007306
173,-883.9901354147459,2937.79045993384
174,-883.9901354147459,2945.567758860374
175,-883.9901354147459,2953.345057786908
176,-883.9901354147459,2961.122356713442
177,-883.9901354147459,2968.899655639976
178,-883.9901354147459,2976.676954566509
179,-883.9901354147459,2984.454253493043
180,-883.9901354147459,2992.231552419577
181,-883.9901354147459,3000.008851346111
182,-883.9901354147459,3007.786150272644
183,-883.9901354147459,3015.563449199178
184,-883.9901354147459,3023.340748125712
185,-883.9901354147459,3031.118047052246
186,-883.9901354147459,3038.89534597878
187,-883.9901354147459,3046.672644905313
188,-883.9901354147459,3054.449943831847
189,-883.9901354147459,3062.227242758381
190,-883.9901354147459,3070.004541684915
191,-883.9901354147459,3077.781840611449
192,-883.9901354147459,3085.559139537983
193,-883.9901354147459,3093.336438464517
194,-883.9901354147459,3101.11373739105
195,-883.9901354147459,3108.891036317584
196,-883.9901354147459,3116.668335244118
197,-883.9901354147459,3124.445634170652
198,-883.9901354147459,3132.222933097186
199,-883.9901354147459,3140.000232023719
200,-883.9901354147459,3147.777530950254
201,-883.9901354147459,3155.554829876787
202,-883.9901354147459,3163.332128803321
203,-883.9901354147459,3171.109427729855
204,-883.9901354147459,3178.886726656389
205,-883.9901354147459,3186.664025582923
206,-883.9901354147459,3194.441324509456
207,-883.9901354147459,3202.21862343599
208,-883.9901354147459,3209.995922362524
209,-883.9901354147459,3217.773221289057
210,-883.9901354147459,3225.550520215592
211,-883.9901354147459,3233.327819142126
212,-884.0598747075231,3241.104146840448
213,-884.5327495333108,3248.863493826592
214,-885.6252204621879,3256.560401401425
215,-887.5469118214764,3264.091617807956
216,-890.2385515285084,3271.380542885697
217,-893.704472811009,3278.335214224497
218,-897.981592252248,3284.822614634424
219,-902.9567774952845,3290.792797785374
220,-908.4789756921988,3296.2613223035
221,-914.4429955686492,3301.246980061332
222,-920.5211707682602,3305.61876417973
223,-921.0098223644111,3305.928557411129
224,-921.4984739605623,3306.238350642529
225,-921.9871255567131,3306.548143873929
226,-922.4757771528638,3306.857937105328
227,-922.9644287490147,3307.167730336728
228,-923.4530803451657,3307.477523568128
229,-923.9417319413167,3307.787316799527
230,-924.4303835374674,3308.097110030927
231,-924.9190351336183,3308.406903262327
232,-925.4076867297694,3308.716696493726
233,-925.5692707922645,3308.818212075849
234,-925.6068883425651,3308.840785387364
235,-925.6445058928658,3308.863358698879
236,-925.6821234431665,3308.885932010394
237,-925.719740993467,3308.908505321909
238,-925.7573585437677,3308.931078633424
239,-925.7949760940684,3308.953651944939
240,-925.8325936443689,3308.976225256454
241,-925.8702111946695,3308.998798567968
242,-925.9078287449701,3309.021371879484
243,-928.8924625324938,3310.723839604356
244,-935.7378662137495,3314.412322479318
245,-942.7425137391626,3317.789794080907
246,-949.8642244391337,3320.913026411088
247,-957.081689862265,3323.808581325775
248,-964.3771761293194,3326.501905755812
249,-971.7378786559036,3329.011845038964
250,-979.153951345062,3331.353345609445
251,-986.6331118789611,3333.483553433442
252,-994.1292882852671,3335.555682261051
253,-1001.823187046873,3336.379918277601
254,-1009.386587783233,3338.098763634464
255,-1016.378095765187,3341.461877227381
256,-1022.615225426796,3346.09433781807
257,-1028.238105303202,3351.462797532433
258,-1033.43602804163,3357.245379725132
259,-1038.330111001363,3363.288862626006
260,-1043.035336871341,3369.481113395329
261,-1047.667274175888,3375.728617996673
262,-1052.294879495986,3381.979340916231
263,-1056.990416321355,3388.178939420597
264,-1061.720417139933,3394.352550264254
265,-1066.557646555993,3400.441557096232
266,-1071.569785087578,3406.387600880912
267,-1076.779291920257,3412.16120229886
268,-1082.218860419825,3417.718432850722
269,-1087.910573573638,3423.017004853257
270,-1093.867178025226,3428.015628872242
271,-1100.092649005206,3432.674328282117
272,-1106.560326791483,3436.988569072744
273,-1113.291130106128,3440.882547554466
274,-1120.266924407477,3444.31643215375
275,-1127.449539996739,3447.29361184378
276,-1134.811242330028,3449.794228558861
277,-1142.318070008721,3451.822547399223
278,-1149.940061448206,3453.360094955326
279,-1157.633586712423,3454.480202301264
280,-1159.718704445507,3454.736939769952
281,-1159.718704445507,3454.736939769952
282,-1159.718704445507,3454.736939769952
283,-1159.718704445507,3454.736939769952
284,-1159.718704445507,3454.736939769952
285,-1159.718704445507,3454.736939769952
286,-1159.718704445507,3454.736939769952
287,-1159.718704445507,3454.736939769952
288,-1159.718704445507,3454.736939769952
289,-1159.718704445507,3454.736939769952
290,-1156.295156443797,3454.315222512457
291,-1153.109483940747,3453.922807079522
292,-1153.109483940747,3453.922807079522
293,-1153.147781406059,3453.927524612921
294,-1155.586260722447,3454.227899781971
295,-1158.024740038835,3454.528274951022
296,-1162.028104149992,3454.958572904935
297,-1169.591986805893,3455.684478871937
298,-1177.155869461794,3456.410384838939
299,-1184.719752117695,3457.136290805941
300,-1192.283634773596,3457.862196772943
301,-1199.847517429497,3458.588102739945
302,-1207.411400085398,3459.314008706947
303,-1214.975282741299,3460.039914673949
304,-1222.5391653972,3460.765820640951
305,-1230.103048053101,3461.491726607952
306,-1237.666930709002,3462.217632574954
307,-1245.230813364903,3462.943538541956
308,-1252.794696020805,3463.669444508957
309,-1260.358578676706,3464.395350475959
310,-1267.922461332607,3465.121256442961
311,-1275.486343988508,3465.847162409963
312,-1283.050226644409,3466.573068376965
313,-1290.61410930031,3467.298974343967
314,-1298.177991956211,3468.024880310969
315,-1305.741874612112,3468.75078627797
316,-1313.305757268013,3469.476692244972
317,-1320.869639923914,3470.202598211973
318,-1328.433522579815,3470.928504178975
319,-1335.997405235716,3471.654410145977
320,-1343.561287891617,3472.380316112979
321,-1351.125170547519,3473.106222079981
322,-1358.68905320342,3473.832128046983
323,-1366.252935859321,3474.558034013984
324,-1373.816818515222,3475.283939980986
325,-1381.380701171123,3476.009845947987
326,-1388.944583827024,3476.735751914989
327,-1396.508466482925,3477.461657881991
328,-1404.072349138826,3478.187563848993
329,-1411.636231794727,3478.913469815995
330,-1419.200114450628,3479.639375782997
331,-1426.763997106529,3480.365281749999
332,-1434.32787976243,3481.091187717
333,-1441.891762418332,3481.817093684002
334,-1449.455645074233,3482.542999651004
335,-1457.019527730134,3483.268905618005
336,-1464.583410386035,3483.994811585007
337,-1472.147293041936,3484.720717552009
338,-1479.711175697837,3485.446623519011
339,-1487.275058353738,3486.172529486013
340,-1494.838941009639,3486.898435453014
341,-1502.40282366554,3487.624341420016
342,-1509.966706321441,3488.350247387018
343,-1517.530588977342,3489.07615335402
344,-1524.509672656914,3489.745936151781
345,-1516.767943625511,3489.00296226463
346,-1509.026214594108,3488.25998837748
347,-1501.284485562704,3487.517014490329
348,-1493.542756531301,3486.774040603178
349,-1485.801027499898,3486.031066716028
350,-1478.059298468495,3485.288092828876
351,-1470.317569437091,3484.545118941726
352,-1462.575840405688,3483.802145054575
353,-1454.834111374285,3483.059171167425
354,-1447.092382342881,3482.316197280274
355,-1439.350653311478,3481.573223393123
356,-1431.608924280074,3480.830249505973
357,-1423.867195248671,3480.087275618821
358,-1416.125466217268,3479.344301731671
359,-1408.383737185865,3478.601327844521
360,-1400.642008154461,3477.858353957369
361,-1392.900279123058,3477.115380070219
362,-1385.158550091655,3476.372406183068
363,-1377.416821060251,3475.629432295918
364,-1369.675092028848,3474.886458408767
365,-1361.933362997445,3474.143484521616
366,-1354.191633966041,3473.400510634466
367,-1346.449904934638,3472.657536747315
368,-1338.708175903235,3471.914562860164
369,-1330.966446871831,3471.171588973013
370,-1323.224717840428,3470.428615085863
371,-1315.482988809025,3469.685641198712
372,-1307.741259777621,3468.942667311561
373,-1299.999530746218,3468.199693424411
374,-1292.257801714815,3467.45671953726
375,-1284.516072683412,3466.713745650109
376,-1276.774343652008,3465.970771762958
377,-1269.032614620605,3465.227797875808
378,-1261.290885589202,3464.484823988657
379,-1253.549156557798,3463.741850101506
380,-1245.807427526395,3462.998876214355
381,-1238.065698494992,3462.255902327205
382,-1230.323969463589,3461.512928440054
383,-1222.582240432185,3460.769954552903
384,-1214.840511400782,3460.026980665753
385,-1207.098782369378,3459.284006778602
386,-1199.357053337975,3458.541032891452
387,-1191.615324306572,3457.7980590043
388,-1183.873595275168,3457.05508511715
389,-1176.131866243765,3456.312111229999
390,-1168.390137212362,3455.569137342848
391,-1160.648408180959,3454.826163455698
392,-1153.138322736344,3453.92670708323
393,-1153.777414193117,3454.005397470956
394,-1154.41650564989,3454.084087858683
395,-1155.055597106663,3454.162778246409
396,-1155.694688563436,3454.241468634136
397,-1156.333780020209,3454.320159021862
398,-1156.972871476983,3454.398849409589
399,-1157.611962933756,3454.477539797315
400,-1158.251054390529,3454.556230185042
401,-1158.890145847302,3454.634920572768
402,-1159.529237304075,3454.713610960495
403,-1159.269080130167,3454.681578191683
404,-1158.629988673394,3454.602887803956
405,-1157.990897216621,3454.52419741623
406,-1157.351805759847,3454.445507028502
407,-1156.712714303074,3454.366816640777
408,-1156.073622846301,3454.288126253049
409,-1155.434531389528,3454.209435865323
410,-1154.795439932755,3454.130745477597
411,-1154.156348475982,3454.05205508987
412,-1153.517257019209,3453.973364702143
413,-1153.121669532304,3453.924643641927
414,-1153.120439235747,3453.924458216674
415,-1153.119208939189,3453.92427279142
416,-1153.117978642632,3453.924087366167
417,-1153.116748346075,3453.923901940913
418,-1153.115518049518,3453.923716515659
419,-1153.11428775296,3453.923531090406
420,-1153.113057456403,3453.923345665153
421,-1153.111827159845,3453.923160239899
422,-1153.110596863288,3453.922974814645
423,-1153.845895810687,3454.013519286281
424,-1159.718704445507,3454.736939769952
425,-1159.718704445507,3454.736939769952
426,-1159.718704445507,3454.736939769952
427,-1159.718704445507,3454.736939769952
428,-1159.718704445507,3454.736939769952
429,-1159.718704445507,3454.736939769952
430,-1159.718704445507,3454.736939769952
431,-1159.718704445507,3454.736939769952
432,-1159.718704445507,3454.736939769952
433,-1159.718704445507,3454.736939769952
434,-1159.718704445507,3454.736939769952
435,-1167.095202904039,3455.444862471853
436,-1174.836931935442,3456.187836359003
437,-1182.578660966845,3456.930810246154
438,-1190.320389998249,3457.673784133305
439,-1198.062119029652,3458.416758020456
440,-1205.803848061055,3459.159731907607
441,-1213.545577092459,3459.902705794757
442,-1221.287306123862,3460.645679681908
443,-1229.029035155265,3461.388653569059
444,-1236.770764186668,3462.131627456209
445,-1244.512493218072,3462.87460134336
446,-1252.254222249475,3463.617575230511
447,-1259.995951280879,3464.360549117662
448,-1267.737680312282,3465.103523004812
449,-1275.479409343685,3465.846496891963
